Date,"Main Page"
2015-07-01,20364038
2015-07-02,20737438
2015-07-03,19555130
2015-07-04,20402177
2015-07-05,20750743
2015-07-06,22517745
2015-07-07,21181823
2015-07-08,19088471
2015-07-09,19960597
2015-07-10,20165160
2015-07-11,19661638
2015-07-12,20215385
2015-07-13,20490531
2015-07-14,19668484
2015-07-15,19536504
2015-07-16,19633588
2015-07-17,18971541
2015-07-18,18344575
2015-07-19,18804725
2015-07-20,20326456
2015-07-21,19715802
2015-07-22,19517546
2015-07-23,19607219
2015-07-24,18627806
2015-07-25,19300490
2015-07-26,20393582
2015-07-27,20130375
2015-07-28,19878181
2015-07-29,27541011
2015-07-30,18481145
2015-07-31,17914903
2015-08-01,18168613
2015-08-02,19391468
2015-08-03,18937054
2015-08-04,20502711
2015-08-05,20233508
2015-08-06,20034590
2015-08-07,19092354
2015-08-08,19420692
2015-08-09,19682609
2015-08-10,19836249
2015-08-11,18344984
2015-08-12,19354570
2015-08-13,19142593
2015-08-14,19392303
2015-08-15,19258461
2015-08-16,19640102
2015-08-17,20289060
2015-08-18,20060120
2015-08-19,18867663
2015-08-20,19056020
2015-08-21,18884273
2015-08-22,18774833
2015-08-23,19867286
2015-08-24,20179188
2015-08-25,18539740
2015-08-26,18068841
2015-08-27,17835168
2015-08-28,17257786
2015-08-29,17809792
2015-08-30,18171711
2015-08-31,20535354
2015-09-01,18067601
2015-09-02,18405336
2015-09-03,17842176
2015-09-04,17467839
2015-09-05,17889601
2015-09-06,18984724
2015-09-07,19732067
2015-09-08,19633691
2015-09-09,18598040
2015-09-10,18045104
2015-09-11,18545589
2015-09-12,18921943
2015-09-13,19054571
2015-09-14,19209239
2015-09-15,19259534
2015-09-16,18089144
2015-09-17,18036358
2015-09-18,17584786
2015-09-19,17712219
2015-09-20,19452099
2015-09-21,20634380
2015-09-22,18669362
2015-09-23,19374816
2015-09-24,17764328
2015-09-25,17645706
2015-09-26,17917595
2015-09-27,18554386
2015-09-28,20175118
2015-09-29,17412353
2015-09-30,19557528
2015-10-01,18704051
2015-10-02,18364309
2015-10-03,18036007
2015-10-04,18803868
2015-10-05,19146525
2015-10-06,18109045
2015-10-07,18698394
2015-10-08,18916768
2015-10-09,18307000
2015-10-10,18793503
2015-10-11,18976895
2015-10-12,20130555
2015-10-13,19398331
2015-10-14,18638630
2015-10-15,18669929
2015-10-16,17729914
2015-10-17,17902906
2015-10-18,18891219
2015-10-19,21201043
2015-10-20,20528590
2015-10-21,21401602
2015-10-22,21315971
2015-10-23,18784151
2015-10-24,17399660
2015-10-25,19954819
2015-10-26,20392914
2015-10-27,20747825
2015-10-28,20334904
2015-10-29,18586647
2015-10-30,17961860
2015-10-31,17910504
2015-11-01,17763298
2015-11-02,21109666
2015-11-03,20868540
2015-11-04,19806825
2015-11-05,19507743
2015-11-06,17848974
2015-11-07,17332642
2015-11-08,18319734
2015-11-09,20552266
2015-11-10,19315622
2015-11-11,18988156
2015-11-12,18590630
2015-11-13,17860236
2015-11-14,17806236
2015-11-15,18870007
2015-11-16,20657921
2015-11-17,19579562
2015-11-18,19745609
2015-11-19,18971756
2015-11-20,17394951
2015-11-21,18765301
2015-11-22,19221630
2015-11-23,20393405
2015-11-24,19162233
2015-11-25,18568725
2015-11-26,17993586
2015-11-27,17705131
2015-11-28,18975958
2015-11-29,19117820
2015-11-30,21180335
2015-12-01,19895901
2015-12-02,17917915
2015-12-03,18221413
2015-12-04,17698714
2015-12-05,18003793
2015-12-06,18234703
2015-12-07,20874568
2015-12-08,19828780
2015-12-09,17819909
2015-12-10,16367743
2015-12-11,17311908
2015-12-12,16035196
2015-12-13,18152694
2015-12-14,19079271
2015-12-15,17082003
2015-12-16,17437719
2015-12-17,16312644
2015-12-18,16056841
2015-12-19,16413187
2015-12-20,16528858
2015-12-21,17619880
2015-12-22,17299761
2015-12-23,17595185
2015-12-24,17035246
2015-12-25,15866571
2015-12-26,17734171
2015-12-27,17275188
2015-12-28,18784420
2015-12-29,17368558
2015-12-30,17228537
